zipcode,island,county,neighborhood,pobox,type
96701,Oahu,Oahu,"Aiea, Pearl City",0,
96703,Kauai,Kauai,North Kauai,1,
96704,Hawaii,Hawaii,Kona,0,
96705,Kauai,Kauai,West Kauai,1,
96706,Oahu,Oahu,"Kapolei, Ewa",0,
96707,Oahu,Oahu,"Kapolei, Ewa",0,
96708,Maui,Maui,Rural Maui,0,
96709,Oahu,Oahu,"Kapolei, Ewa",1,
96710,Hawaii,Hawaii,Hamakua Coast,1,
96712,Oahu,Oahu,Oahu North Shore,0,
96713,Maui,Maui,Rural Maui,0,
96714,Kauai,Kauai,North Kauai,1,
96715,Kauai,Kauai,Lihue,1,
96716,Kauai,Kauai,West Kauai,1,
96717,Oahu,Oahu,Oahu North Shore,0,
96718,Hawaii,Hawaii,Puna-Ka'u,1,
96719,Hawaii,Hawaii,Kohala,1,
96720,Hawaii,Hawaii,Hilo,0,
96721,Hawaii,Hawaii,Hilo,1,
96722,Kauai,Kauai,North Kauai,0,
96725,Hawaii,Hawaii,Kona,0,
96726,Hawaii,Hawaii,Kona,1,
96727,Hawaii,Hawaii,Hamakua Coast,0,
96728,Hawaii,Hawaii,Hamakua Coast,1,
96729,Molokai,Maui,Molokai,1,
96730,Oahu,Oahu,Oahu North Shore,0,
96731,Oahu,Oahu,Oahu North Shore,0,
96732,Maui,Maui,"Wailuku, Kahului",0,
96733,Maui,Maui,"Wailuku, Kahului",1,
96734,Oahu,Oahu,"Kailua, Kaneohe",0,
96737,Hawaii,Hawaii,Puna-Ka'u,1,
96738,Hawaii,Hawaii,Kohala,0,
96739,Hawaii,Hawaii,Kona,1,
96740,Hawaii,Hawaii,Kona,0,
96741,Kauai,Kauai,West Kauai,0,
96742,Molokai,Maui,Molokai,1,
96743,Hawaii,Hawaii,Kohala,0,
96744,Oahu,Oahu,"Kailua, Kaneohe",0,
96745,Hawaii,Hawaii,Kona,1,
96746,Kauai,Kauai,North Kauai,0,
96747,Kauai,Kauai,West Kauai,1,
96748,Molokai,Maui,Molokai,0,
96749,Hawaii,Hawaii,Puna-Ka'u,0,
96750,Hawaii,Hawaii,Kona,0,
96751,Kauai,Kauai,North Kauai,1,
96752,Kauai,Kauai,West Kauai,1,
96753,Maui,Maui,Kihei,0,
96754,Kauai,Kauai,North Kauai,0,
96755,Hawaii,Hawaii,Kohala,1,
96756,Kauai,Kauai,Koloa-Poipu,0,
96757,Molokai,Maui,Molokai,1,
96759,Oahu,Oahu,"Wahiawa, Mililani",1,
96760,Hawaii,Hawaii,Puna-Ka'u,0,
96761,Maui,Maui,Lahaina,0,
96762,Oahu,Oahu,Oahu North Shore,0,
96763,Lanai,Maui,Lanai,1,
96764,Hawaii,Hawaii,Hamakua Coast,1,
96765,Kauai,Kauai,West Kauai,1,
96766,Kauai,Kauai,Lihue,0,
96767,Maui,Maui,Lahaina,1,
96768,Maui,Maui,Rural Maui,0,
96769,Kauai,Kauai,West Kauai,1,
96770,Molokai,Maui,Molokai,1,
96771,Hawaii,Hawaii,Puna-Ka'u,0,
96772,Hawaii,Hawaii,Puna-Ka'u,1,
96773,Hawaii,Hawaii,Hamakua Coast,1,
96774,Hawaii,Hawaii,Hamakua Coast,1,
96776,Hawaii,Hawaii,Hamakua Coast,1,
96777,Hawaii,Hawaii,Puna-Ka'u,1,
96778,Hawaii,Hawaii,Puna-Ka'u,0,
96779,Maui,Maui,Rural Maui,0,
96780,Hawaii,Hawaii,Hamakua Coast,1,
96781,Hawaii,Hawaii,Hamakua Coast,0,
96782,Oahu,Oahu,"Aiea, Pearl City",0,
96783,Hawaii,Hawaii,Hamakua Coast,0,
96784,Maui,Maui,"Wailuku, Kahului",1,
96785,Hawaii,Hawaii,Puna-Ka'u,1,
96786,Oahu,Oahu,"Wahiawa, Mililani",0,
96788,Maui,Maui,Rural Maui,1,
96789,Oahu,Oahu,"Wahiawa, Mililani",0,
96790,Maui,Maui,Rural Maui,0,
96791,Oahu,Oahu,Oahu North Shore,0,
96792,Oahu,Oahu,Waianae Coast,0,
96793,Maui,Maui,"Wailuku, Kahului",0,
96795,Oahu,Oahu,"Kailua, Kaneohe",0,
96796,Kauai,Kauai,West Kauai,1,
96797,Oahu,Oahu,Waipahu,0,
96801,Oahu,Oahu,Downtown & Nuuanu,1,
96802,Oahu,Oahu,Downtown & Nuuanu,1,
96803,Oahu,Oahu,Downtown & Nuuanu,1,
96804,Oahu,Oahu,Downtown & Nuuanu,1,
96805,Oahu,Oahu,Downtown & Nuuanu,1,
96806,Oahu,Oahu,Downtown & Nuuanu,1,
96807,Oahu,Oahu,Downtown & Nuuanu,1,
96808,Oahu,Oahu,Downtown & Nuuanu,1,
96809,Oahu,Oahu,Downtown & Nuuanu,1,
96810,Oahu,Oahu,Downtown & Nuuanu,1,
96811,Oahu,Oahu,Downtown & Nuuanu,1,
96812,Oahu,Oahu,Downtown & Nuuanu,1,
96813,Oahu,Oahu,Downtown & Nuuanu,0,
96814,Oahu,Oahu,Downtown & Nuuanu,0,
96815,Oahu,Oahu,Makiki to Waikiki,0,
96816,Oahu,Oahu,Kaimuki to Hawaii Kai,0,
96817,Oahu,Oahu,Downtown & Nuuanu,0,
96818,Oahu,Oahu,"Airport, Kalihi",0,
96819,Oahu,Oahu,"Airport, Kalihi",0,
96820,Oahu,Oahu,Downtown & Nuuanu,1,
96821,Oahu,Oahu,Kaimuki to Hawaii Kai,0,
96822,Oahu,Oahu,Makiki to Waikiki,0,
